Source,Target,Weight
郝红梅,孙少平,62
郝红梅,侯玉英,19
郝红梅,顾养民,93
郝红梅,金波,16
郝红梅,田晓霞,11
郝红梅,田福堂,24
孙少平,金波,44
孙少平,顾养民,64
孙少平,郝红梅,62
孙少平,侯玉英,62
孙少平,田晓霞,111
孙少平,安锁子,10
孙少平,惠英嫂,17
顾养民,孙少平,64
顾养民,郝红梅,93
顾养民,金波,46
顾养民,田晓霞,28
顾养民,金秀,24
金波,孙少平,44
金波,田福堂,12
金波,田晓霞,22
金波,金俊海,19
金波,兰香,19
金波,顾养民,46
金波,郝红梅,16
金波,金秀,16
金波,孙玉厚,10
金波,孙玉亭,10
田福堂,金波,12
田福堂,孙玉亭,275
田福堂,金俊山,137
田福堂,孙玉厚,49
田福堂,孙少安,81
田福堂,徐治功,65
田福堂,徐国强,21
田福堂,田福军,23
田福堂,金俊武,140
田福堂,金俊文,20
田福堂,白明川,44
田福堂,田润叶,17
田福堂,爱云,10
田福堂,田海民,29
田福堂,刘根民,10
田福堂,金光亮,43
田福堂,王彩娥,13
田福堂,刘玉升,11
田福堂,郝红梅,24
侯玉英,孙少平,62
侯玉英,郝红梅,19
叶姐,孙少安,16
田二,金俊山,14
田二,孙玉亭,55
田润叶,孙少安,24
田润叶,李登云,21
田润叶,田福堂,17
田晓霞,金波,22
田晓霞,徐国强,15
田晓霞,田福军,23
田晓霞,孙少平,111
田晓霞,顾养民,28
田晓霞,郝红梅,11
田晓霞,兰香,17
孙玉厚,王满银,17
孙玉厚,兰花,17
孙玉厚,孙少安,37
孙玉厚,金俊海,26
孙玉厚,孙玉亭,83
孙玉厚,兰香,15
孙玉厚,田福堂,49
孙玉厚,金波,10
孙玉厚,金俊山,21
孙玉厚,刘玉升,38
金俊海,金波,19
金俊海,孙玉厚,26
金俊海,孙玉亭,10
兰花,王满银,52
兰花,孙玉厚,17
兰花,孙少安,11
兰香,金秀,52
兰香,金波,19
兰香,王满银,12
兰香,孙玉厚,15
兰香,孙少安,11
兰香,田晓霞,17
兰香,吴仲平,17
金秀,兰香,52
金秀,金波,16
金秀,顾养民,24
王满银,兰香,12
王满银,孙玉厚,17
王满银,兰花,52
王满银,孙少安,12
孙少安,兰花,11
孙少安,王满银,12
孙少安,孙玉厚,37
孙少安,田福堂,81
孙少安,孙玉亭,35
孙少安,兰香,11
孙少安,金俊武,42
孙少安,田润叶,24
孙少安,田福军,16
孙少安,徐治功,13
孙少安,叶姐,16
孙少安,秀莲,15
孙少安,金光亮,13
孙少安,胡永合,19
孙少安,刘玉升,12
孙玉亭,孙玉厚,83
孙玉亭,田福堂,275
孙玉亭,贺凤英,44
孙玉亭,金俊山,93
孙玉亭,徐治功,18
孙玉亭,田二,55
孙玉亭,孙少安,35
孙玉亭,金俊武,142
孙玉亭,田海民,38
孙玉亭,金强,51
孙玉亭,金俊文,15
孙玉亭,金俊海,10
孙玉亭,王彩娥,38
孙玉亭,金波,10
孙玉亭,金光亮,39
孙玉亭,刘玉升,34
金俊武,金光亮,29
金俊武,金俊文,62
金俊武,田福堂,140
金俊武,孙少安,42
金俊武,金俊山,57
金俊武,孙玉亭,142
金俊武,田海民,22
金俊武,王彩娥,21
金俊武,金强,22
金光亮,金俊武,29
金光亮,孙玉亭,39
金光亮,田福堂,43
金光亮,金俊山,12
金光亮,金俊文,12
金光亮,孙少安,13
金光亮,刘玉升,12
贺凤英,孙玉亭,44
金俊山,孙玉亭,93
金俊山,田福堂,137
金俊山,田二,14
金俊山,金俊武,57
金俊山,田海民,11
金俊山,孙玉厚,21
金俊山,金光亮,12
徐治功,孙玉亭,18
徐治功,田福堂,65
徐治功,白明川,62
徐治功,孙少安,13
徐治功,刘根民,27
徐治功,张有智,12
徐国强,田福军,26
徐国强,田福堂,21
徐国强,田晓霞,15
徐国强,李登云,17
徐国强,爱云,11
田福军,徐国强,26
田福军,田福堂,23
田福军,田晓霞,23
田福军,李登云,61
田福军,冯世宽,92
田福军,爱云,14
田福军,孙少安,16
田福军,白明川,14
田福军,张有智,113
田福军,周文龙,36
田福军,苗凯,98
田福军,乔伯年,27
田福军,吴斌,18
冯世宽,田福军,92
冯世宽,李登云,38
冯世宽,张有智,11
冯世宽,苗凯,45
金俊文,金俊武,62
金俊文,田福堂,20
金俊文,王彩娥,12
金俊文,孙玉亭,15
金俊文,金强,11
金俊文,金光亮,12
刘根民,徐治功,27
刘根民,田福堂,10
爱云,田福军,14
爱云,李登云,10
爱云,徐国强,11
爱云,田福堂,10
李登云,徐国强,17
李登云,田福军,61
李登云,冯世宽,38
李登云,爱云,10
李登云,田润叶,21
李登云,张有智,16
白明川,田福军,14
白明川,徐治功,62
白明川,田福堂,44
白明川,周文龙,14
白明川,张有智,12
田海民,孙玉亭,38
田海民,田福堂,29
田海民,金俊武,22
田海民,金俊山,11
田海民,刘玉升,15
金强,孙玉亭,51
金强,金俊文,11
金强,金俊武,22
王彩娥,金俊文,12
王彩娥,金俊武,21
王彩娥,孙玉亭,38
王彩娥,田福堂,13
王彩娥,刘玉升,11
秀莲,孙少安,15
张有智,田福军,113
张有智,周文龙,22
张有智,白明川,12
张有智,冯世宽,11
张有智,李登云,16
张有智,徐治功,12
周文龙,白明川,14
周文龙,田福军,36
周文龙,张有智,22
武惠良,丽丽,11
苗凯,冯世宽,45
苗凯,田福军,98
苗凯,吴斌,29
刘玉升,田海民,15
刘玉升,田福堂,11
刘玉升,王彩娥,11
刘玉升,孙玉亭,34
刘玉升,孙玉厚,38
刘玉升,孙少安,12
刘玉升,金光亮,12
乔伯年,田福军,27
丽丽,武惠良,11
吴斌,苗凯,29
吴斌,田福军,18
吴月琴,冯国斌,18
冯国斌,吴月琴,18
胡永合,孙少安,19
安锁子,孙少平,10
惠英嫂,孙少平,17
吴仲平,兰香,17
